bam depth
08N38132.bam 1.10356
20N002015.bam 2.41758
20N002014.bam 2.52099
09N10529.bam 1.17258
SERU2008.bam 0.871373
09N10565.bam 1.18726
18N01092.bam 1.92839
18N00848.bam 1.09035
18N01091.bam 4.57013
04N5245.bam 1.33051
05N9588.bam 0.741874
05N0711.bam 1.96995
18N00362.bam 1.792877
18N01005.bam 1.85525
18N01006.bam 1.612867
19N03365.bam 1.550617
20N002508.bam 2.245858
20N002509.bam 1.633399
20N002510.bam 1.339582
20N002511.bam 1.257986
20N002512.bam 0.97935
21N02292.bam 1.148718
21N02293.bam 0.889188
21N02294.bam 1.24419
21N02295.bam 1.916987
21N02754.bam 0.899497
21N02755.bam 0.875072
21N02756.bam 0.737557
21N02757.bam 0.74035
21N02758.bam 0.694001
21N02759.bam 1.751719
21N02760.bam 0.893794
21N02761.bam 0.905649
21N02779.bam 0.414986
21N02781.bam 0.772135
21N02782.bam 0.732925
21N02783.bam 0.75642
21N03174.bam 0.748598
21N03175.bam 0.569463
21N03176.bam 0.61515
21N03177.bam 1.538688
21N03178.bam 0.983313
21N03181.bam 1.15015
21N03258.bam 0.864955
21N03263.bam 0.508438
21N03267.bam 1.296211
21N03268.bam 1.192521
21N03270.bam 0.775354
21N03271.bam 0.880644
21N03272.bam 0.943576
21N03273.bam 0.890286
21N03276.bam 1.302721
21N03277.bam 0.841806
21N03278.bam 1.508135
21N03280.bam 1.105367
21N03307.bam 1.31821
21N03308.bam 0.91181
21N03309.bam 0.869256
21N03310.bam 0.489199
21N03316.bam 1.065605
21N03317.bam 0.892151
21N03319.bam 0.997012
21N03332.bam 0.841961
21N03334.bam 0.771772
21N03335.bam 1.706483
21N03338.bam 1.087057
21N03339.bam 1.794482
21N03340.bam 0.881127
21N03341.bam 0.795651
21N03342.bam 0.593417
21N03343.bam 1.445285
21N03345.bam 0.742503
21N03352.bam 1.403489
21N03354.bam 0.411197
21N03363.bam 0.32981
21N03370.bam 0.305661
21N03372.bam 0.233319
21N03373.bam 0.221043
21N03375.bam 0.137862
21N03376.bam 0.161968
22N04004.bam 2.782513
22N04005.bam 2.709416
22N04006.bam 2.765508
22N04007.bam 3.281051
22N04010.bam 2.711263
22N04011.bam 2.81721
22N04012.bam 2.887578
22N04013.bam 2.992168
22N04014.bam 2.887993
22N04016.bam 2.942924
22N04017.bam 3.046638
22N04018.bam 2.748735
